Id,Source,Target,Label,Type,Weight
1,1,2,,Undirected,1
2,2,3,,Undirected,1
3,3,4,,Undirected,1
4,4,5,,Undirected,1
5,5,6,,Undirected,1
6,6,7,,Undirected,1
7,7,8,,Undirected,1
8,8,9,,Undirected,1
9,9,10,,Undirected,1
10,10,11,,Undirected,1
11,11,12,,Undirected,1
12,12,13,,Undirected,1
13,13,14,,Undirected,1
14,14,15,,Undirected,1
15,15,16,,Undirected,1
16,16,17,,Undirected,1
17,17,18,,Undirected,1
18,18,19,,Undirected,1
19,19,20,,Undirected,1
20,20,21,,Undirected,1
21,21,22,,Undirected,1
22,22,23,,Undirected,1
23,23,24,,Undirected,1
24,24,25,,Undirected,1
25,26,27,,Undirected,1
26,27,5,,Undirected,1
27,4,28,,Undirected,1
28,28,29,,Undirected,1
29,28,30,,Undirected,1
30,27,31,,Undirected,1
31,31,6,,Undirected,1
32,31,32,,Undirected,1
33,32,33,,Undirected,1
34,33,34,,Undirected,1
35,34,35,,Undirected,1
36,34,36,,Undirected,1
37,36,37,,Undirected,1
38,37,38,,Undirected,1
39,37,39,,Undirected,1
40,33,40,,Undirected,1
41,40,36,,Undirected,1
42,37,41,,Undirected,1
43,41,42,,Undirected,1
44,31,43,,Undirected,1
45,43,44,,Undirected,1
46,44,45,,Undirected,1
47,45,46,,Undirected,1
48,46,40,,Undirected,1
49,33,44,,Undirected,1
51,46,47,,Undirected,1
52,47,48,,Undirected,1
53,48,49,,Undirected,1
54,49,50,,Undirected,1
55,50,41,,Undirected,1
56,50,51,,Undirected,1
57,51,52,,Undirected,1
58,52,47,,Undirected,1
59,13,51,,Undirected,1
60,10,47,,Undirected,1
61,11,53,,Undirected,1
62,9,46,,Undirected,1
63,54,55,,Undirected,1
64,55,8,,Undirected,1
65,55,45,,Undirected,1
66,55,56,,Undirected,1
67,56,43,,Undirected,1
68,56,7,,Undirected,1
69,56,57,,Undirected,1
70,5,58,,Undirected,1
71,58,59,,Undirected,1
72,59,60,,Undirected,1
73,60,61,,Undirected,1
74,61,58,,Undirected,1
75,62,59,,Undirected,1
76,62,63,,Undirected,1
77,63,64,,Undirected,1
78,64,65,,Undirected,1
79,65,6,,Undirected,1
80,63,58,,Undirected,1
81,62,66,,Undirected,1
82,66,67,,Undirected,1
83,67,68,,Undirected,1
84,68,69,,Undirected,1
85,69,70,,Undirected,1
86,70,71,,Undirected,1
87,71,72,,Undirected,1
88,72,73,,Undirected,1
89,73,8,,Undirected,1
90,73,74,,Undirected,1
91,74,75,,Undirected,1
92,75,76,,Undirected,1
93,75,65,,Undirected,1
94,75,77,,Undirected,1
95,77,64,,Undirected,1
96,71,78,,Undirected,1
97,78,79,,Undirected,1
98,72,80,,Undirected,1
99,80,81,,Undirected,1
100,81,74,,Undirected,1
101,74,81,,Undirected,1
102,81,82,,Undirected,1
103,82,78,,Undirected,1
104,70,83,,Undirected,1
105,83,84,,Undirected,1
106,84,82,,Undirected,1
108,66,84,,Undirected,1
109,84,85,,Undirected,1
110,69,86,,Undirected,1
111,86,87,,Undirected,1
112,87,88,,Undirected,1
113,88,89,,Undirected,1
114,89,90,,Undirected,1
115,90,91,,Undirected,1
116,91,71,,Undirected,1
117,91,92,,Undirected,1
118,92,69,,Undirected,1
119,87,93,,Undirected,1
120,93,94,,Undirected,1
121,93,95,,Undirected,1
122,86,96,,Undirected,1
123,96,12,,Undirected,1
